Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1

"MS621FE-FL11E","MS Lihium Rechargeable Battery, 3 V, -20 to 60 degC, Tray","BT1","1","Seiko","MS621FE-FL11E"
"C2012X7R1E155K125AC","Multilayer Ceramic Capacitors 1.5µF ±10% 25V X7R SMD 0805","C1","1","TDK","C2012X7R1E155K125AC"
"C0805C106K8PACTU","CAP CER 10UF 10V X5R 0805","C2, C3, C4, C5, C8","5","KEMET","C0805C106K8PACTU"
"GRM31CR71C106KAC7L","Chip Capacitor, 10 uF, +/- 10%, 16 V, -55 to 125 degC, 1206 (3216 Metric), RoHS, Tape and Reel","C6, C7","2","Murata","GRM31CR71C106KAC7L"
"CL10B104MB8NNNC","Cap Ceramic 100nF 50V X7R ±20% Pad SMD 0603 +125°C T/R","C9, C10, C11","3","Samsung","CL10B104MB8NNNC"
"SML-LXT0805GW-TR","LED, GREEN, 565 nm, 2 V, -25 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel","DS1, DS2, DS4","3","Lumex","SMLLXT0805GWTR"
"LTST-C170KRKT","LED Red, 75 mW, 54 mcd, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","DS3","1","Vishay Lite-On","LTST-C170KRKT"
"Q8F7CZZRYG02E","","DS5, DS6, DS7","3","",""
"Fiducial","Fiducial","FID1, FID2, FID3, FID4","4","",""
"S2B-PH-K-S(LF)(SN)","Male Header, Pitch 2 mm, 1 x 2 Position, Height 4.8 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk","J3","1","JST","S2B-PH-K-S(LF)(SN)"
"53048-1010","CONN HEADER R/A 10POS 1.25MM","J7","1","Molex","53048-1010"
"PH1-01-UA","CONN HEADER VERT 1POS 2.54MM","J8","1","Adam Equipment","PH1-01-UA"
"IHLP1212AEERR47M11","FIXED IND 470NH 6.7A 15 MOHM SMD","L1","1","Vishay Dale","IHLP1212AEERR47M11"
"M4 Screw Hole","Plated hole for M4 mounting hardware","MP1, MP2, MP3, MP4","4","",""
"SSM3J372R,LF","MOSFET (P-Channel)","Q1, Q2, Q3, Q5, Q6, Q7","6","",""
"SSM3K329R,LF","MOSFET N CH 30V 3.5A 2-3Z1A","Q4","1","Toshiba","SSM3K329R,LF"
"RC0603JR-070RL","Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R7, R12, R14, R18, R20, R26, R32, R39, R41, R46, R49, R50, R51, R52, R53","15","Yageo","RC0603JR-070RL"
"CRGCQ0603J33R","Res Thick Film 0603 33 Ohm 5% 0.1W(1/10W) ±200ppm/C Pad SMD Automotive T/R","R10, R11, R13, R16","4","",""
"ERJ3EKF1002V","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R22, R23, R24, R25, R28, R33, R34, R37, R38, R54, R55","11","Bourns","CR0603-FX-1002ELF"
"ERJ-3EKF5232V","","R27","1","Panasonic","ERJ-3EKF5232V"
"ERJ-3EKF1003V","","R29","1","Panasonic","ERJ3EKF1003V"
"RC0805JR-07200RL","","R30, R31, R57, R58, R59, R60, R61, R62","8","Yageo","RC0805JR-07200RL"
"ERJ-3GEYJ471V","","R35","1","Panasonic","ERJ-3GEYJ471V"
"RC0805FR-07374RL","","R44","1","Yageo","RC0805FR-07374RL"
"SolderBridgeOpen","","SB1, SB2, SB3, SB4, SB5, SB6, SB7, SB8, SB9, SB10, SB11","11","",""
"PV1F640SS","Pushbutton Switch","SW1, SW2","2","",""
"0.040"" Circular Test Point","0.040"" Circular Test Point","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12","12","",""
"Teensy 4.1","Teensy 4.1 w/ Headers","U1","1","",""
"TPS2116DRLR","Integrated Circuit","U2","1","",""
"TPS61023DRLT","IC REG BOOST ADJ 3A SOT563","U3","1","Texas Instruments","TPS61023DRLT"
"MCP73833T-AMI_UN","Integrated Circuit","U4","1","",""
"SAM-M10Q-00B","M10 Gnss LGA Patch Antenna Mod","U5","1","",""
"BNO085","Adafruit 9-DOF Orientation IMU Fusion Breakout - BNO085","U6","1","",""
"LTC1156CSW#PBF","Quad High Side Micropower MOSFET Driver with Internal Charge Pump, 22 V Vin MAX, 16-pin SOIC (SW-16), 0 to 70 degC, Pb-Free","U7, U8","2","Analog Devices / Linear Technology","LTC1156CSW#PBF"
