Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Unit Price 1

"MS621FE-FL11E","MS Lihium Rechargeable Battery, 3 V, -20 to 60 degC, Tray","BT?","1","Seiko","MS621FE-FL11E","Arrow Electronics","2.18"
"C0805C106K8PACTU","CAP CER 10UF 10V X5R 0805","C?","5","KEMET","C0805C106K8PACTU","Mouser","0.059"
"CL10B104MB8NNNC","Cap Ceramic 100nF 50V X7R ±20% Pad SMD 0603 +125°C T/R","C?","1","Samsung","CL10B104MB8NNNC","Arrow Electronics","0.0028"
"CL10B105KP8NNNC","Cap Ceramic 1uF 10V X7R ±10% Pad SMD 0603 +125°C T/R","C?","2","Samsung","CL10B105KP8NNNC","Newark","0.008"
"GCM21BR71C155KA37L","0805 Ceramic Capacitor, 1.5uF, 16V, X7R","C?","1","Murata","GCM21BR71C155KA37L","Arrow Electronics","0.1923"
"GRM31CR71C106KAC7L","Chip Capacitor, 10 uF, +/- 10%, 16 V, -55 to 125 degC, 1206 (3216 Metric), RoHS, Tape and Reel","C?","2","Murata","GRM31CR71C106KAC7L","Future Electronics","0.955"
"Fiducial","Fiducial","FID?","4","","","",""
"901-143-6RFX","connector, rf coaxial, sma rt angle pcb jack recept, 4 legs, blunt post term, gold","J?","1","Amphenol RF","901-143-6RFX","Avnet","7.83"
"53047-1010","CONN HEADER VERT 10POS 1.25MM","J?","1","Molex","53047-1010","Newark","0.388"
"IHLP1212AEERR47M11","FIXED IND 470NH 6.7A 15 MOHM SMD","L?","1","Vishay Dale","IHLP1212AEERR47M11","Digi-Key","1.18"
"TLMG1100-GS08","0603 Green LED","LED?","3","Vishay Semiconductors","TLMG1100-GS08","Newark","0.082"
"MAX-M10S-00B","GNSS LCC RX, ROM, TCXO, LNA, SAW","MD?","1","u-blox","MAX-M10S-00B","Mouser","21"
"M4 Screw Hole","Plated hole for M4 mounting hardware","MP?","4","","","",""
"53398-1071","Male Header, Pitch 1.25 mm, 1 x 10 Position, Height 4.7 mm, -40 to 85 degC, RoHS, Tape and Reel","P?","1","Molex","53398-1071","Newark","0.671"
"GRPB061VWVN-RC","Male Header, Pitch 1.27 mm, 1 x 6 Position, Height 4 mm, Tail Length 2.3 mm, -40 to 105 degC, RoHS, Bulk","P?","2","Sullins","GRPB061VWVN-RC","Future Electronics","0.305"
"S2B-PH-K-S(LF)(SN)","Male Header, Pitch 2 mm, 1 x 2 Position, Height 4.8 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk","P?","2","JST","S2B-PH-K-S(LF)(SN)","Newark","0.036"
"CRGCQ0603J33R","Res Thick Film 0603 33 Ohm 5% 0.1W(1/10W) ±200ppm/C Pad SMD Automotive T/R","R?","23","TE Connectivity","CRGCQ0603J33R","Newark","0.002"
"ERJ-2GEJ103X","","R?","2","Panasonic","ERJ-2GEJ103X","Newark","0.004"
"ERJ-3GEYJ472V","0603 Resistor, 4.7kO, ±5%, 0.1W","R?","6","Panasonic","ERJ-3GEYJ472V","Newark","0.004"
"ERJ-PA3F4700V","0603 Resistor, 470O, ±1%, 0.25W","R?","3","Panasonic","ERJ-PA3F4700V","Digi-Key","0.14"
"RC0402JR-0710KL","RES 10K OHM 5% 1/16W 0402","R?","8","Yageo","RC0402JR-0710KL","Mouser","0.01"
"RC0805FR-07732KL","","R?","1","Yageo","RC0805FR-07732KL","Arrow Electronics","0.0162"
"RC0805JR-070RL","Chip Resistor, 0 Ohm, Jumper, +/- 5%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R?","8","Yageo","RC0805JR-070RL","Newark","0.004"
"RC0805JR-07100KL","RES SMD 100K OHM 5% 1/8W 0805","R?","1","Yageo","RC0805JR-07100KL","Digi-Key","0.1"
"SolderBridgeOpen","","SB?","3","","","",""
"0.040"" Circular Test Point","0.040"" Circular Test Point","TP?","11","","","",""
"MCP73833T-AMI/UN","IC LI-ION/LI-POLY CTRLR 10MSOP","U?","1","Microchip","MCP73833T-AMI/UN","Digi-Key","1.14"
"Teensy 4.1","Teensy 4.1 w/ Headers","U?","1","SparkFun","DEV-16996","Digi-Key","37.28"
"TPS2116DRLR","Integrated Circuit","U?","1","","","",""
"TPS61023DRLT","IC REG BOOST ADJ 3A SOT563","U?","1","Texas Instruments","TPS61023DRLT","Digi-Key","1.18"
